date,close,volume,open,high,low
4/27/2018,177.16,15047700,177.11,178.2,174.01
4/26/2018,173.9,13334990,173.25,174.36,172.05
4/25/2018,170.22,17095350,170.52,171.3,166.64
4/24/2018,173.09,14555890,177.63,178,170.68
4/23/2018,175.57,12024000,178.63,179.32,174.71
4/20/2018,179.11,14464610,179.36,181.39,177.53
4/19/2018,181.39,11974980,183.26,183.63,179.52
4/18/2018,182.68,16937380,178.9,182.88,177.64
4/17/2018,178.7,16269960,174.83,179.34,174.83
4/16/2018,174.7,9852899,172.01,174.79,171.01
4/13/2018,172.04,13512220,176.72,176.8,171.07
4/12/2018,175.92,11108990,175.93,177.9,174.56
4/11/2018,175.36,10154830,176.48,178.16,174.74
4/10/2018,177.1,20546750,175.1,177.88,173.85
4/9/2018,169.87,14701160,169.75,172.72,168.61
4/6/2018,167.52,18187360,169.84,172.27,166.4
4/5/2018,172.57,18142960,175.48,176.56,171.17
4/4/2018,172.07,24542530,166.88,172.4099,166.13
4/3/2018,174.67,19936030,179.26,179.58,173
4/2/2018,177.61,16009300,182.81,183.51,175.75
3/29/2018,183.54,16368940,180.88,185.13,178.62
3/28/2018,178.91,20047810,180.73,183.44,177.57
3/27/2018,181.89,16598970,192.24,192.25,180.66
3/26/2018,190.5,16744070,187.89,190.62,184.32
3/23/2018,181.2,18698590,186.85,188.48,180.401
3/22/2018,184.65,25307040,190.75,192.39,184.6
3/21/2018,195.3,12033510,198.8,198.88,194.57
3/20/2018,198.95,11930750,194.95,199.21,194.54
3/19/2018,194.53,19511150,198,198.43,192.801
3/16/2018,200.28,26932920,198.4,200.38,197.26
3/15/2018,199.06,33525850,198.44,201.5,196.52
3/14/2018,192.56,20019190,190.29,193.63,190.22
3/13/2018,188.41,14775890,193.88,194.25,187.39
3/12/2018,192.74,17811070,192.3,194.4,190.9
3/9/2018,190.55,14199320,189.64,190.7,188.01
3/8/2018,187.18,14320500,189.05,190.23,186.5699
3/7/2018,189.05,13718270,184.37,189.07,184.32
3/6/2018,187.37,17638850,185.19,188.01,184.82
3/5/2018,181.6,15636200,179.41,181.95,177.07
